Year,Issue,Editnr,Totallids,Title,Lidnr,Alinea
"1995","295","1","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","2.","Voor de toepassing van de bij of krachtens dit besluit gegeven voorschriften wordt voorts verstaan onder:a. bijeenkomstgebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor doeleinden van mondelinge communicatie of cultuur;b. cel: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor gedwongen tijdelijk verblijf van mensen die hun hoofdverblijf elders hebben;c. cellengebouw: gebouw of een gedeelte van een gebouw, in welk gebouw of welk gedeelte twee of meer cellen zijn gelegen die zijn te bereiken door een of meer verkeersruimten;d. complex: verzameling van niet in een logiesgebouw gelegen logiesverblijven die in het kader van een bedrijf of in enigerlei vorm van samenwerking door de rechthebbenden wordt beheerd;e. gezondheidszorggebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor doeleinden van medische verpleging, verzorging of behandeling dan wel van medisch onderzoek;f. horecagebouw: gebouw of gedeelte van een gebouw, welk gebouw of gedeelte blijkens zijn constructie en inrichting is bestemd voor het bedrijfsmatig verstrekken van consumpties en het gebruik daarvan ter plaatse;g. industriegebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor doeleinden van bedrijfsmatige bewerking of opslag van materialen of goederen, het bedrijfsmatig telen of opslaan van gewassen of het bedrijfsmatig houden van dieren;h. kantoorgebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor doeleinden van administratie;i. logiesgebouw: gebouw of gedeelte van een gebouw, in welk gebouw of welk gedeelte twee of meer logiesverblijven zijn gelegen die zijn te bereiken door een of meer gemeenschappelijke verkeersruimten;j. logiesverblijf: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor het bieden van recreatief verblijf of tijdelijk onderdak aan mensen die hun hoofdverblijf elders hebben;k. onderwijsgebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor doeleinden van onderwijs;l. sportgebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor doeleinden van sport;m. stationsgebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor aankomst en vertrek van openbare voorzieningen van weg-, spoorweg-, water- of luchtverkeer;n. winkelgebouw: gebouw of gedeelte van een gebouw, welk gebouw of welk gedeelte blijkens zijn constructie en inrichting is bestemd voor het verhandelen van materialen, goederen of diensten, eno. woongebouw: gebouw of gedeelte van een gebouw, in welk gebouw of welk gedeelte twee of meer woningen zijn gelegen die zijn te bereiken door een of meer gemeenschappelijke verkeersruimten."
"1995","295","2","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","1.","Een uitwendige scheidingsconstructie van een verblijfsgebied, een toiletruimte of een badruimte heeft, ter beperking van warmteverlies door overdracht of geleiding, bepaald overeenkomstig NEN 1068, een warmteweerstand van ten minste 2,5 m"
"1995","295","3","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","2.","Het eerste lid is niet van toepassing op een deur, raam, kozijn en daarmee gelijk te stellen constructie-onderdeel, voorzover die deur, dat raam, dat kozijn of dat constructie-onderdeel, bepaald overeenkomstig NEN 5128, een warmtedoorgangscoëfficiënt heeft van ten hoogste 4,2 W/m"
"1995","295","4","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","3.","Het eerste en het tweede lid zijn van overeenkomstige toepassing op:a. een constructie die de scheiding vormt tussen een verblijfsgebied, toiletruimte of badruimte en de kruipruimte, met inbegrip van de op die constructie aansluitende delen van andere constructies, voor zover die delen van invloed zijn op het voldoen van die constructie aan het eerste of tweede lid, enb. een inwendige scheidingsconstructie van een verblijfsgebied, toiletruimte of badruimte, voor zover die constructie niet de scheiding vormt met een ander verblijfsgebied of met een andere toiletruimte of badruimte, waarvan de uitwendige scheidingsconstructies, bepaald overeenkomstig NEN 1068, een warmteweerstand heeft van ten minste 2,5 m"
"1995","295","5","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","4.","In het totaal van de uitwendige scheidingsconstructies, waaronder begrepen inwendige scheidingsconstructies als bedoeld in het derde lid, onderdeel b, mag ten hoogste 2% van de gebruiksoppervlakte van de woning of het woongebouw aan constructie-onderdelen aanwezig zijn, dat niet voldoet aan het eerste tot en met het derde lid."
"1995","295","6","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","1.","Het totaal aan:a. uitwendige scheidingsconstructies van een woning;b. inwendige scheidingsconstructies tussen een woning en een niet in die woning gelegen ruimte, enc. constructies die de scheiding vormen tussen een woning en een kruipruimte, met inbegrip van de op die constructies aansluitende delen van andere constructies,mag, ter beperking van warmteverlies door tocht, bepaald overeenkomstig NEN 2686, geen grotere luchtvolumestroom als bedoeld in die norm hebben dan 0,2 m"
"1995","295","7","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","2.","Het eerste lid is van overeenkomstige toepassing op een gemeenschappelijk verblijfsgebied."
"1995","295","8","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","3.","Bij de bepaling van de luchtvolumestroom, bedoeld in het eerste of tweede lid, mogen ruimten, niet zijnde een verblijfsgebied, toilet- of badruimte, buiten beschouwing blijven."
"1995","295","9","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","4.","Bij de bepaling van de luchtvolumestroom bedoeld in het eerste of tweede lid, blijft een ruimte waarin een niet-afsluitbare voorziening voor de toevoer van verse lucht en de afvoer van binnenlucht aanwezig is met een capaciteit, bepaald volgens NEN 1087, van ten minste 3×10"
"1995","295","10","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","1.","Indien niet is voldaan aan enig voorschrift, gegeven bij of krachtens de artikelen 70 tot en met 71a, heeft een woning of woongebouw een mate van energiezuinigheid die ten minste gelijk is aan de mate van energiezuinigheid die is beoogd met het desbetreffende bij of krachtens die artikelen gegeven voorschrift."
"1995","295","11","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","6.","De voorziening voor de toevoer van verse lucht en de afvoer van binnenlucht, bedoeld in het vijfde lid, heeft voor een verblijfsgebied ten minste een capaciteit als aangeven in tabel Va, waarbij is uitgegaan van de in tabel Vb aangegeven klassen."
"1995","295","12","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","7.","De toevoer van verse lucht, bedoeld in het zesde lid, naar een verblijfsgebied vindt rechtstreeks van buiten plaats."
"1995","295","13","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","8.","De voorziening voor de toevoer van verse lucht en de afvoer van binnenlucht, bedoeld in het vijfde lid, heeft voor een verblijfsruimte ten minste een capaciteit als aangegeven in tabel Va.."
"1995","295","14","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","3.","Onverminderd het tweede lid, is ten behoeve van:a. een opstelplaats voor een stooktoestel uitgegaan van een op gas gestookt verbrandingstoestel met een belasting van ten minste 30 W per mb. een opstelplaats voor een warmwatertoestel uitgegaan van een op gas gestookt toestel met een belasting van ten minste 20 W per m"
"1995","295","15","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","4.","In afwijking in zoverre van het derde lid, mag, indien het warmwatertoestel is samengevoegd met het stooktoestel, zijn uitgegaan van een belasting van dat samengevoegde toestel van ten minste 30 W per m"
"1995","295","16","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","2.","De voorziening voor warm water heeft, opdat warm water kan worden betrokken, ter plaatse van een opstelplaats voor een warmwatertoestel, ten minste één aansluitpunt voor het kunnen aansluiten van dat toestel op die voorziening."
"1995","295","17","65","Na artikel 414 worden vier nieuwe artikelen met bijbehorende opschriften ingevoegd, luidende:","3.","De voorziening voor warm water heeft voorts ten minste één aansluitpunt ter plaatse van een bad of doucheplaats.."
